sa2_code,sa2_name,state_name,gccsa_name,area_sq_km
101021007,Braidwood,New South Wales,,
101021008,Karabar,New South Wales,,
101021009,Queanbeyan,New South Wales,,
101021010,Queanbeyan - East,New South Wales,,
101021012,Queanbeyan West - Jerrabomberra,New South Wales,,
101021610,Googong,New South Wales,,
101021611,Queanbeyan Surrounds,New South Wales,,
101031013,Bombala,New South Wales,,
101031014,Cooma,New South Wales,,
101031015,Cooma Surrounds,New South Wales,,
101031016,Jindabyne - Berridale,New South Wales,,
101041017,Batemans Bay,New South Wales,,
101041018,Batemans Bay - South,New South Wales,,
101041019,Bega - Tathra,New South Wales,,
101041020,Bega-Eden Hinterland,New South Wales,,
101041021,Broulee - Tomakin,New South Wales,,
101041022,Deua - Wadbilliga,New South Wales,,
101041023,Eden,New South Wales,,
101041024,Eurobodalla Hinterland,New South Wales,,
101041025,Merimbula - Tura Beach,New South Wales,,
101041026,Moruya - Tuross Head,New South Wales,,
101041027,Narooma - Bermagui,New South Wales,,
101051539,Goulburn,New South Wales,,
101051540,Goulburn Surrounds,New South Wales,,
101061541,Yass,New South Wales,,
101061542,Yass Surrounds,New South Wales,,
101061543,Young,New South Wales,,
101061544,Young Surrounds,New South Wales,,
102011028,Avoca Beach - Copacabana,New South Wales,,
102011029,Box Head - MacMasters Beach,New South Wales,,
102011030,Calga - Kulnura,New South Wales,,
102011031,Erina - Green Point,New South Wales,,
102011032,Gosford - Springfield,New South Wales,,
102011033,Kariong,New South Wales,,
102011034,Kincumber - Picketts Valley,New South Wales,,
102011035,Narara,New South Wales,,
102011036,Niagara Park - Lisarow,New South Wales,,
102011037,Point Clare - Koolewong,New South Wales,,
102011038,Saratoga - Davistown,New South Wales,,
102011039,Terrigal - North Avoca,New South Wales,,
102011040,Umina - Booker Bay - Patonga,New South Wales,,
102011041,Wamberal - Forresters Beach,New South Wales,,
102011042,Woy Woy - Blackwall,New South Wales,,
102011043,Wyoming,New South Wales,,
102021044,Bateau Bay - Killarney Vale,New South Wales,,
102021045,Blue Haven - San Remo,New South Wales,,
102021046,Budgewoi - Buff Point - Halekula,New South Wales,,
102021047,Chittaway Bay - Tumbi Umbi,New South Wales,,
102021048,Gorokan - Kanwal - Charmhaven,New South Wales,,
102021049,Jilliby - Yarramalong,New South Wales,,
102021050,Lake Munmorah - Mannering Park,New South Wales,,
102021051,Ourimbah - Fountaindale,New South Wales,,
102021052,Summerland Point - Gwandalan,New South Wales,,
102021053,The Entrance,New South Wales,,
102021054,Toukley - Norah Head,New South Wales,,
