sa2_code,median_weekly_household_income,median_monthly_mortgage_repayment,median_weekly_rent,household_count,source_file,source_type
101021007,1429,1732,330,1974.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101021008,1989,1950,350,3276.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101021009,1703,1700,330,5401.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101021010,1796,1700,310,2421.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101021012,3014,2300,430,4394.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101021610,3363,2600,531,2008.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101021611,2926,2417,465,5703.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101031013,1253,1083,200,1115.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101031014,1377,1300,290,3073.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101031015,1596,1627,290,1447.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101031016,1911,1729,380,3214.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041017,1120,1519,330,3900.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041018,1215,1600,350,4063.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041019,1276,1517,320,3857.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041020,1220,1300,265,3982.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041021,1378,1733,360,1649.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041022,875,758,0,18.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041023,1013,1517,270,1557.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041024,1290,1387,300,1533.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041025,1235,1600,340,5482.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041026,1150,1517,310,3909.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101041027,1017,1500,290,4709.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101051539,1418,1636,320,10680.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101051540,1516,1733,300,5536.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101061541,1739,1773,340,2705.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101061542,2575,2275,400,4540.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101061543,1170,1300,250,4585.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
101061544,1169,1083,220,3338.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011028,2276,2438,520,2683.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011029,1775,2167,450,4417.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011030,1777,2167,350,1814.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011031,1434,2167,410,6149.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011032,1460,1885,390,9638.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011033,2200,2080,450,2162.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011034,1343,2100,400,3173.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011035,1950,1993,420,2556.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011036,1987,2000,425,2930.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011037,1717,2000,400,2628.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011038,1760,2167,460,2754.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011039,2130,2500,520,5711.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011040,1329,2080,400,11226.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011041,2188,2434,500,3813.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011042,1261,2000,380,6521.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102011043,1430,1950,400,4569.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021044,1515,2000,400,8779.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021045,1497,1733,400,4032.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021046,1232,1733,360,4230.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021047,1803,2000,425,5928.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021048,1239,1700,360,9318.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021049,2575,2600,440,1103.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021050,1079,1733,380,4982.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021051,2011,2000,400,1760.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021052,1413,1753,395,2597.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021053,1176,1950,365,7542.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021054,1157,1950,350,4504.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021055,1795,1866,425,1937.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021056,2022,2167,495,6684.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
102021057,1214,1690,360,3800.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
103011059,1788,1800,360,4567.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
103011060,1835,1863,273,2657.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
103011061,1381,1517,280,2102.0,ABS Census 2021 General Community Profile SA2 DataPack,Real Public Data
